155	-2.08996	-0.554457	2.33767
156	-2.1454	-0.345461	2.36105
157	-2.17995	-0.130921	2.38466
158	-2.19304	0.0870739	2.4085
159	-2.18433	0.306378	2.43259
160	-2.15369	0.524811	2.45691
161	-2.10121	0.740181	2.48148
162	-2.0272	0.950302	2.5063
163	-1.93217	1.15302	2.53136
164	-1.81686	1.34624	2.55667
165	-1.68224	1.52792	2.58224
166	-1.52945	1.69615	2.60806
167	-1.35983	1.84909	2.63414
168	-1.17492	1.98508	2.66048
169	-0.976415	2.10257	2.68709
170	-0.766158	2.20021	2.71396
171	-0.546137	2.27683	2.7411
172	-0.318455	2.33144	2.76851
173	-0.0853108	2.36328	2.7962
174	0.151018	2.37182	2.82416
175	0.388199	2.35671	2.8524
176	0.623871	2.31789	2.88092
177	0.85566	2.25551	2.90973
178	1.08121	2.16994	2.93883
179	1.2982	2.06182	2.96822
180	1.50439	1.932	2.9979
181	1.69759	1.78156	3.02788
182	1.87574	1.6118	3.05816
183	2.03692	1.42423	3.08874
184	2.17935	1.22054	3.11963
185	2.3014	1.0026	3.15082
186	2.40166	0.772461	3.18233
187	2.47891	0.532295	3.21416
188	2.53214	0.284404	3.2463
189	2.56058	0.0311909	3.27876
190	2.56369	-0.224867	3.31155
191	2.54121	-0.481236	3.34466
192	2.49308	-0.735357	3.37811
193	2.41955	-0.984665	3.41189
194	2.32108	-1.22662	3.44601
195	2.19842	-1.45873	3.48047
196	2.05255	-1.67857	3.51527
197	1.88469	-1.88383	3.55043
198	1.69631	-2.07229	3.58593
199	1.48908	-2.24193	3.62179
200	1.26489	-2.39083	3.65801
201	1.0258	-2.51732	3.69459
202	0.77407	-2.6199	3.73153
203	0.51208	-2.69731	3.76885
204	0.242349	-2.74852	3.80654
205	-0.0325023	-2.77275	3.8446
206	-0.309777	-2.7695	3.88305
207	-0.586728	-2.73852	3.92188
208	-0.86058	-2.67985	3.9611
209	-1.12857	-2.59379	4.00071
210	-1.38794	-2.48094	4.04072
211	-1.63604	-2.34214	4.08112
212	-1.87025	-2.17854	4.12194
213	-2.08811	-1.99151	4.16316
214	-2.28726	-1.7827	4.20479
215	-2.46553	-1.55398	4.24683
216	-2.62093	-1.30742	4.2893
217	-2.75167	-1.04533	4.3322
218	-2.8562	-0.770165	4.37552
219	-2.93322	-0.484544	4.41927
220	-2.98167	-0.191223	4.46347
221	-3.00079	0.106944	4.5081
222	-2.9901	0.407024	4.55318
223	-2.9494	0.706034	4.59871
224	-2.87879	1.00097	4.6447
225	-2.7787	1.28885	4.69115
226	-2.64981	1.56672	4.73806
227	-2.49314	1.8317	4.78544
228	-2.30997	2.08102	4.83329
229	-2.10187	2.31201	4.88163
230	-1.87067	2.5222	4.93044
231	-1.61845	2.70927	4.97975
232	-1.34752	2.87111	5.02955
233	-1.06041	3.00586	5.07984
234	-0.759821	3.1119	5.13064
235	-0.44863	3.18789	5.18195
236	-0.129842	3.23275	5.23376
237	0.193433	3.24573	5.2861
238	0.518007	3.22639	5.33896
239	0.840646	3.17459	5.39235
240	1.1581	3.09053	5.44628
241	1.46716	2.97471	5.50074
242	1.76463	2.828	5.55575
243	2.04743	2.65154	5.6113
244	2.31258	2.44679	5.66742
245	2.55726	2.21554	5.72409
246	2.77882	1.95981	5.78133
247	2.9748	1.68193	5.83915
248	3.14299	1.38445	5.89754
249	3.28143	1.07015	5.95651
250	3.38845	0.742006	6.01608
251	3.46265	0.403161	6.07624
252	3.50297	0.056896	6.137
253	3.50865	-0.293401	6.19837
254	3.47931	-0.644266	6.26035
255	3.41489	-0.992198	6.32296
256	3.31567	-1.33369	6.38619
257	3.1823	-1.66525	6.45005
258	3.01577	-1.98348	6.51455
259	2.81743	-2.28506	6.5797
260	2.58892	-2.5668	6.64549
261	2.33224	-2.8257	6.71195
262	2.04967	-3.05892	6.77907
263	1.74378	-3.26389	6.84686
264	1.41739	-3.43826	6.91533
265	1.07356	-3.58	6.98448
266	0.715563	-3.68736	7.05432
267	0.346827	-3.75892	7.12487
268	-0.0290645	-3.7936	7.19612
269	-0.408424	-3.79069	7.26808
270	-0.787494	-3.74985	7.34076
271	-1.16248	-3.6711	7.41417
272	-1.52959	-3.55485	7.48831
273	-1.88507	-3.40189	7.56319
274	-2.22526	-3.21339	7.63882
275	-2.5466	-2.99086	7.71521
276	-2.84569	-2.7362	7.79236
277	-3.11931	-2.45163	7.87029
278	-3.36447	-2.1397	7.94899
279	-3.57844	-1.80325	8.02848
280	-3.75877	-1.44541	8.10876
281	-3.90331	-1.06953	8.18985
282	-4.01026	-0.679202	8.27175
283	-4.07818	-0.278176	8.35447
284	-4.106	0.129642	8.43801
285	-4.09303	0.540242	8.52239
286	-4.03901	0.949546	8.60762
287	-3.94405	1.35345	8.69369
288	-3.80871	1.74785	8.78063
289	-3.63392	2.12872	8.86844
290	-3.42105	2.49212	8.95712
291	-3.17184	2.83422	9.04669
292	-2.88842	3.1514	9.13716
293	-2.57328	3.44025	9.22853
294	-2.22925	3.69757	9.32082
295	-1.8595	3.9205	9.41402
296	-1.46745	4.10645	9.50816
297	-1.0568	4.25319	9.60325
298	-0.631482	4.35887	9.69928
299	-0.195595	4.42202	9.79627
300	0.246608	4.44158	9.89423
301	0.690766	4.41692	9.99318
302	1.13246	4.34784	10.0931
303	1.56724	4.2346	10.194
304	1.9907	4.07787	10.296
305	2.39849	3.8788	10.3989
306	2.78637	3.63896	10.5029
307	3.15027	3.36032	10.608
308	3.4863	3.04529	10.714
309	3.79083	2.69666	10.8212
310	4.06049	2.31758	10.9294
311	4.29225	1.91153	11.0387
312	4.4834	1.4823	11.1491
313	4.63163	1.03396	11.2606
314	4.73503	0.570801	11.3732
315	4.79211	0.097298	11.4869
316	4.80184	-0.381913	11.6018
317	4.76365	-0.862097	11.7178
318	4.67744	-1.33846	11.835
319	4.54359	-1.80621	11.9533
320	4.36297	-2.26057	12.0728
321	4.13692	-2.69686	12.1936
322	3.86723	-3.11055	12.3155
323	3.55617	-3.49728	12.4387
324	3.20645	-3.85289	12.5631
325	2.82116	-4.17354	12.6887
326	2.4038	-4.45566	12.8156
327	1.95824	-4.69604	12.9437
328	1.48863	-4.89186	13.0732
329	0.999448	-5.04072	13.2039
330	0.495376	-5.14067	13.3359
331	-0.0186906	-5.19021	13.4693
332	-0.537711	-5.18834	13.604
333	-1.05654	-5.13457	13.74
334	-1.57	-5.02891	13.8774
335	-2.07289	-4.87191	14.0162
336	-2.56008	-4.66462	14.1564
337	-3.02655	-4.40861	14.2979
338	-3.46741	-4.10596	14.4409
339	-3.878	-3.75922	14.5853
340	-4.25392	-3.37142	14.7312
341	-4.59107	-2.94603	14.8785
342	-4.88567	-2.48692	15.0273
343	-5.13436	-1.99835	15.1775
344	-5.3342	-1.48492	15.3293
345	-5.48269	-0.951496	15.4826
346	-5.57784	-0.403227	15.6374
347	-5.61816	0.154556	15.7938
348	-5.6027	0.716372	15.9517
349	-5.53107	1.27664	16.1113
350	-5.4034	1.82975	16.2724
351	-5.22043	2.37009	16.4351
352	-4.98342	2.89213	16.5994
353	-4.69421	3.39047	16.7654
354	-4.35516	3.85989	16.9331
355	-3.96917	4.29541	17.1024
356	-3.53963	4.69233	17.2734
357	-3.07039	5.04629	17.4462
358	-2.56577	5.35333	17.6206
359	-2.03043	5.60991	17.7969
