22.0884	72.1202	1082.27	0.237369	1154.39
22.2892	74.2389	1082.83	0.198049	1157.07
22.49	66.1212	1104.17	0.140895	1170.29
22.6908	53.0566	1134.75	0.0709243	1187.81
22.8916	43.45	1157.23	-0.00517271	1200.68
23.0924	43.7454	1158.94	-0.0797706	1202.69
23.2932	54.4597	1139.72	-0.145156	1194.18
23.494	69.7755	1112.17	-0.194374	1181.94
23.6948	81.0039	1094.16	-0.221968	1175.17
23.8956	81.8611	1097.99	-0.224536	1179.85
24.0964	72.3483	1122.71	-0.201042	1195.05
24.2972	58.8308	1154.61	-0.152848	1213.44
24.498	50.2068	1175.45	-0.0834839	1225.66
24.6988	52.4658	1173.64	0.00180535	1226.11
24.8996	64.9644	1151.45	0.0966708	1216.42
25.1004	80.7444	1123.79	0.194345	1204.54
25.3012	90.7587	1109.14	0.288311	1199.89
25.502	89.448	1118.13	0.372887	1207.57
25.7028	78.234	1146.87	0.443646	1225.1
25.9036	64.728	1179.16	0.497658	1243.89
26.1044	58.0764	1196.42	0.533531	1254.49
26.3052	63.2778	1189.22	0.551278	1252.5
26.506	77.9974	1163.37	0.55205	1241.36
26.7068	93.9137	1136.46	0.537793	1230.38
26.9076	101.84	1127.08	0.510891	1228.93
27.1084	97.4863	1143.1	0.47385	1240.59
27.3092	84.2521	1176.53	0.429061	1260.78
27.51	71.2395	1208.23	0.378669	1279.47
27.7108	67.6183	1219.77	0.324546	1287.39
27.9116	76.8145	1205.17	0.268346	1281.98
28.1124	94.1869	1174.97	0.211615	1269.15
28.3133	109.756	1150.04	0.155895	1259.79
28.5141	114.404	1148.56	0.102801	1262.97
28.7149	105.719	1174.36	0.0540251	1280.08
28.9157	89.7702	1213.95	0.0112554	1303.72
29.1165	77.5431	1244.48	-0.0239846	1322.02
29.3173	78.1177	1248	-0.0505566	1326.12
29.5181	92.794	1223.08	-0.0679451	1315.88
29.7189	113.933	1186.45	-0.0764635	1300.39
29.9197	129.434	1163.13	-0.0773786	1292.57
30.1205	130.229	1170.91	-0.072913	1301.14
30.3213	116.185	1208.7	-0.0661003	1324.89
30.5221	96.5925	1256.4	-0.0604933	1352.99
30.7229	84.7195	1286.71	-0.0597501	1371.43
30.9237	89.608	1282.07	-0.0671455	1371.68
31.1245	110.174	1246.19	-0.085075	1356.36
31.3253	135.431	1202.65	-0.114625	1338.08
31.5261	150.957	1180.99	-0.155283	1331.95
31.7269	147.814	1198.4	-0.204836	1346.22
31.9277	128.404	1248.35	-0.259509	1376.75
32.1285	105.468	1303.65	-0.314318	1409.11
32.3293	94.5538	1332.59	-0.363628	1427.15
32.5301	104.397	1318.63	-0.40184	1423.03
32.7309	131.155	1271.35	-0.424126	1402.51
32.9317	160.265	1221.67	-0.427108	1381.94
33.1325	175.088	1203.39	-0.409389	1378.48
33.3333	167.21	1232.22	-0.371854	1399.43
33.5341	142.045	1295.22	-0.317686	1437.26
33.7349	116.035	1357.67	-0.252088	1473.7
33.9357	106.853	1383.83	-0.181727	1490.68
34.1365	122.451	1359.13	-0.113979	1481.58
34.3373	155.707	1300.15	-0.0560488	1455.86
34.5382	188.258	1245.5	-0.0141047	1433.75
34.739	201.49	1232.67	0.00748232	1434.16
34.9398	188.104	1274.69	0.0066741	1462.79
